2025-12-03 20:29:03,343 [ALERT] WARNING: High amount trade detected: trade_id=425844a8-e2d9-4737-aad4-abdf17d86f94, symbol=MSFT, side=SELL, amount=2209091.22
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=0ea4ab3a-bf1e-4e86-b2d0-180370ad9f62, symbol=AAPL, side=BUY, amount=1065270.4
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=10ace919-cded-4924-95a2-039ab8f85ebb, symbol=GOOG, side=SELL, amount=2822573.92
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=a4a5d2ff-57b9-444a-8b9b-8778dd855226, symbol=GOOG, side=SELL, amount=2218263.48
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=e963621c-dd30-4645-a3a8-4f3f3a9cf90f, symbol=GOOG, side=BUY, amount=2352282.65
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=a0c5df9c-bdc0-4c92-96e1-ff84c5ee2b39, symbol=AAPL, side=BUY, amount=1387814.55
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=e7b86430-0516-40ed-9d4b-4135088a6234, symbol=AMZN, side=SELL, amount=1509321.18
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=9d07ada8-8406-41fb-b8ac-c53a6f99be97, symbol=AAPL, side=BUY, amount=2018727.75
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=9dc3a0de-2c5c-43f9-b5dd-b704c64bfd0a, symbol=GOOG, side=BUY, amount=1091435.1
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=58f05e45-a56c-46fd-82dd-0be82d753d43, symbol=AMZN, side=SELL, amount=2195651.16
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=a8dd8cea-ab9b-4edc-a6a4-2d4f8b64edb7, symbol=AMZN, side=SELL, amount=1486959.11
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=e1ee195d-bd42-4734-b232-e9c807d43573, symbol=AAPL, side=BUY, amount=1619679.51
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=199b7224-7c3b-45d8-9efa-569a02ede1b8, symbol=TSLA, side=SELL, amount=1191670.8
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=735c0f79-67eb-457e-8595-d1747b34e321, symbol=GOOG, side=SELL, amount=1159107.48
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=42d62b89-6b64-4613-9643-fe572cbe22f0, symbol=AAPL, side=BUY, amount=4466568.96
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=f28a9f12-66a1-446c-b9f3-74cefc55e02b, symbol=GOOG, side=BUY, amount=1744860.96
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=fdf18255-a582-486c-887e-af6d0a2c62da, symbol=GOOG, side=BUY, amount=2402468.49
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=302ed162-ffa2-4d82-86fe-d86e95b6c811, symbol=AAPL, side=SELL, amount=3152866.64
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=7ce298fc-ef88-425b-9791-d547cce770b7, symbol=MSFT, side=BUY, amount=1541019.2
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=e234ebff-bf96-4593-be50-dc5125a34b27, symbol=AAPL, side=BUY, amount=1234397.28
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=f5663e1b-c8d8-4d6b-8e05-25f1cab4a910, symbol=GOOG, side=SELL, amount=2385659.36
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=066b75ee-5f5f-4df8-8fb1-95d21900fd15, symbol=GOOG, side=BUY, amount=3416249.62
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=8fe017b9-13a7-41c8-be83-27c481962077, symbol=MSFT, side=SELL, amount=1301622.63
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=8fe72de7-8fc3-4115-8db5-287325998fb9, symbol=AMZN, side=BUY, amount=2878277.19
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=61c807d4-e8a0-4db1-9f97-a432b6c77ded, symbol=AMZN, side=BUY, amount=2156581.35
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=26c5d84c-1bce-4488-a3ec-d9d816a604e4, symbol=AMZN, side=BUY, amount=2338748.5
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=9a911623-ae2d-47d6-ad6c-baf6881b7add, symbol=GOOG, side=SELL, amount=1093006.08
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=f59946b5-8e3c-41ee-af5f-bca3f6213771, symbol=MSFT, side=BUY, amount=2622911.94
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=86fd3de0-738d-42be-a0fe-7b29c4f684b8, symbol=TSLA, side=SELL, amount=1729090.79
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=2539873d-0c6d-4823-9bf1-bda234f4c91c, symbol=AAPL, side=BUY, amount=1781217.27
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=9023b69b-566e-4238-b979-a9c32e09cfb4, symbol=TSLA, side=SELL, amount=3497466.5
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=14ef0540-092c-4995-8e0c-2652dfec9c7d, symbol=AMZN, side=BUY, amount=2248441.36
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=3f834028-7836-4754-afaa-e79d069e2cc5, symbol=TSLA, side=BUY, amount=1288759.46
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=38358930-4643-429f-b2e8-e258533cc2f0, symbol=GOOG, side=BUY, amount=3298192.53
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=7275397d-2a44-4e6a-9b21-2cf80ba3c0ab, symbol=AAPL, side=SELL, amount=1743617.12
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=635026ef-a0a9-4b1b-a93b-e6ad33347268, symbol=MSFT, side=SELL, amount=1608852.78
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=c7206a83-721c-4a48-9d86-a59ed4c49940, symbol=MSFT, side=SELL, amount=1981666.8
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=2f4e2cd3-a41f-4d57-adc1-9cb5d7c16ee2, symbol=AAPL, side=SELL, amount=3921715.2
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=9e80faf5-7503-4b01-b8ab-e2b3cb399ad5, symbol=GOOG, side=BUY, amount=1586415.32
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=d9f9ac82-3441-4beb-9db2-19cb589297f0, symbol=MSFT, side=BUY, amount=2091066.12
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=beb515e2-e38a-425f-832d-152d1907185d, symbol=GOOG, side=SELL, amount=1977518.64
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=46e0db87-58a7-4ebb-80d9-2a0091921d87, symbol=GOOG, side=SELL, amount=2178041.36
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=250afe37-89f2-40eb-8719-e7ed6fa32711, symbol=AMZN, side=SELL, amount=1523633.82
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=2478151a-6af9-4b51-8a57-b881a102526c, symbol=AAPL, side=BUY, amount=1987020.41
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=473c2e44-aac4-4f38-976b-9e0ee85afbd9, symbol=AMZN, side=BUY, amount=3389935.92
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=a92f8b20-6c11-41e7-8f25-a6ab3c669e97, symbol=GOOG, side=SELL, amount=2620883.18
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=787f6592-4e65-44cd-bb32-ed7f31ea618e, symbol=MSFT, side=BUY, amount=3288154.06
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=6c786d84-77b2-4197-9f48-8b2cf19ec13c, symbol=TSLA, side=BUY, amount=3024028.17
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=09962579-0ea2-4f26-b36c-e718d4b93655, symbol=TSLA, side=SELL, amount=3016177.2
2025-12-03 20:29:03,344 [ALERT] WARNING: High amount trade detected: trade_id=8f799821-3bf5-4b1a-a3c2-0c070eae50c5, symbol=TSLA, side=BUY, amount=3471773.11
